ortografi,PoS,RedPoS,xmin,xmax,speaker,turnummer,gold
fag,NCNSU==I,N,409.244,409.423,AKS,131,
....,,,409.423,410.942,AKS,131,
og,CC,SKONJ,410.942,411.214,AKS,131,
så,RGU,ADV,411.214,411.485,AKS,131,
går,VADR=----A-,V_PRES,411.485,411.757,AKS,131,
..,,,411.757,411.923,AKS,131,
så,RGU,ADV,411.923,412.265,AKS,131,
går,VADR=----A-,V_PRES,412.265,412.607,AKS,131,
vi,PP1CPN-NU,PRON_PERS,412.607,412.949,AKS,131,
typisk,ANP.SU=IU,ADJ,412.949,413.29,AKS,131,
ned,RGU,ADV,413.29,413.632,AKS,131,
på,SP,PRÃ†P,413.632,413.974,AKS,131,
tanken,NCCSU==D,N,413.974,414.316,AKS,131,
..,,,414.316,414.67,AKS,131,
det,PP3NSU-NU,PRON_PERS,414.67,414.944,AKS,131,
gør,VADR=----A-,V_PRES,414.944,415.218,AKS,131,
jeg,PP1CSN-NU,PRON_PERS,415.218,415.491,AKS,131,
sammen,RGU,ADV,415.491,415.765,AKS,131,
med,SP,PRÃ†P,415.765,416.039,AKS,131,
....,,,416.039,417.408,AKS,131,
Markus,NP--U==-,EGEN,417.408,417.751,AKS,131,
og,CC,SKONJ,417.751,418.094,AKS,131,
øh,I=,INTERJ,418.094,418.438,AKS,131,
nogle,PI-.PU--U,PRON_UBST,418.438,418.781,AKS,131,
gange,NCCPU==I,N,418.781,419.124,AKS,131,
Emil,NP--U==-,EGEN,419.124,419.467,AKS,131,
..,,,419.467,419.766,AKS,131,
nogle,PI-.PU--U,PRON_UBST,419.766,420.056,AKS,131,
gange,NCCPU==I,N,420.056,420.346,AKS,131,
Tobias,NP--U==-,EGEN,420.346,420.636,AKS,131,
og,CC,SKONJ,486.803,486.984,AKS,161,
så,RGU,ADV,486.984,487.166,AKS,161,
sidder,VADR=----A-,V_PRES,487.166,487.347,AKS,161,
vi,PP1CPN-NU,PRON_PERS,487.347,487.528,AKS,161,
typisk,ANP.SU=IU,ADJ,487.528,487.71,AKS,161,
derude,RGU,ADV,487.71,487.891,AKS,161,
det,PP3NSU-NU,PRON_PERS,487.891,488.072,AKS,161,
er,VADR=----A-,V_PRES,488.072,488.254,AKS,161,
også,RGU,ADV,488.254,488.435,AKS,161,
derude,RGU,ADV,488.435,488.672,AKS,161,
jeg,PP1CSN-NU,PRON_PERS,488.672,488.908,AKS,161,
for,SP,PRÃ†P,488.908,489.145,AKS,161,
det,PD-NSU--U,PRON_DEMO,489.145,489.382,AKS,161,
meste,ANS.SU=DU,ADJ,489.382,489.619,AKS,161,
laver,VADR=----A-,V_PRES,489.619,489.855,AKS,161,
lektier,NCCPU==I,N,489.855,490.092,AKS,161,
.,,,543.271,543.35,AKS,183,
men,CC,SKONJ,543.35,543.503,AKS,183,
hvis,CS,UKONJ,543.503,543.656,AKS,183,
jeg,PP1CSN-NU,PRON_PERS,543.656,543.809,AKS,183,
tager,VADR=----A-,V_PRES,543.809,543.962,AKS,183,
sådan,RGU,ADV,543.962,544.115,AKS,183,
en,PI-CSU--U,PRON_UBST,544.115,544.268,AKS,183,
typisk,ANP.SU=IU,ADJ,544.268,544.517,AKS,183,
aften,NCCSU==I,N,544.517,544.767,AKS,183,
nede,RGU,ADV,544.767,545.016,AKS,183,
på,SP,PRÃ†P,545.016,545.216,AKS,183,
molen,NCCSU==D,N,545.216,545.417,AKS,183,
så,RGU,ADV,545.417,545.617,AKS,183,
er,VADR=----A-,V_PRES,545.617,545.817,AKS,183,
det,PD-NSU--U,PRON_DEMO,545.817,546.018,AKS,183,
sild,NCCPU==I,N,546.018,546.218,AKS,183,
....,,,604.585,606.119,AKS,209,
øh,I=,INTERJ,606.119,606.322,AKS,209,
der,U=,UNIK,606.322,606.526,AKS,209,
er,VADR=----A-,V_PRES,606.526,606.73,AKS,209,
store,ANP.PU=.U,ADJ,606.73,606.933,AKS,209,
lommer,NCCPU==I,N,606.933,607.136,AKS,209,
og,CC,SKONJ,607.136,607.34,AKS,209,
.,,,607.34,607.419,AKS,209,
..,,,607.419,607.666,AKS,209,
og,CC,SKONJ,607.666,607.912,AKS,209,
små,ANP.PU=.U,ADJ,607.912,608.158,AKS,209,
lommer,NCCPU==I,N,608.158,608.405,AKS,209,
